San Diego Crew Classic 2006 Official Results,,,,,,,,,,,,,,,,,,
"Saturday April 1, 2006",,,,,,,,,,,,,,,,,,
Event,Trophy,Title,Heat,Start,1st Place,,2nd Place,,3rd Place,,4th Place,,5th Place,,6th Place,,7th Place,
52, ,Womens Junior ,Petite,04:30:00 PM,Rose City, 7:30:40,Lakeside HS, 7:34:43,River City, 7:40:37,SDRC, 7:44:47,Holy Names, 7:44:67,NorCal, 7:49:03,,
53, Thalia Kelly Considine Cup,Womens Club *,A,04:40:00 PM,LBRA, 8:05:90,Marin, 8:25:49,Lake Merritt, 8:29:82,Portland BC, 8:36:30,Community, 8:41:43,Interlochen, 8:58:32,,
54, ,Womens Club *,B,04:50:00 PM,Lake Union, 7:53:80,Lake Wash, 7:54:28,Watercat RC, 7:57:40,Los Gatos , 8:22:79,ZLAC, 9:24:13,,,,
55, City of San Diego Cup,Mens Club *,A,05:00:00 PM,Marin, 6:43:80,SDRC, 6:57:91,Wide Load BC, 7:03:35,Los Gatos (A), 7:12:23,LARC, 7:19:97,Bair Island, 7:23:27,,
56, ,Mens Club *,B,05:10:00 PM,LBRA, 6:31:90,Willamette, 6:46:52,Union BC, 6:48:24,Lake Union, 6:50:19,California YC, 6:52:48,Los Gatos (B), 6:58:41,,
,,,,,,,,,,,,,,,,,,
"Sunday April 2, 2006",,,,,,,,,,,,,,,,,,
57, ,Womens Junior JV,3RD,07:30:00 AM,Marina AC, 8:01:10,ZLAC, 8:15:78,NorCal, 8:15:97,Xavier, 8:23:32,Rio Salado, 8:28:33,,,,
58, ,Womens Junior JV,Petite,07:40:00 AM,Marin (B), 7:41:00,Rose City RC, 7:49:32,Holy Names, 7:50:42,SDRC, 7:55:82,Capital Crew, 8:01:10,Long Beach, 8:04:70,,
59, ,Mens Junior JV,Petite,07:50:00 AM,Los Gatos (A), 6:48:60,Rose City RC, 6:51:45,Capital Crew, 6:54:67,Oakland Strokes, 6:55:96,Marina AC, 7:01:57,Berkeley HS, 7:03:28,,
60, ZLAC Rowing Club Trophy,Womens Junior JV,GFinal,08:00:00 AM,Oakland Strokes, 7:12:23,Marin (A), 7:18:68,St. Ignatius, 7:29:44,Lakeside HS, 7:30:63,Community, 7:37:61,Los Gatos, 7:44:81,,
61, Jean Jessop Hervey Cup,Mens Junior JV,GFinal,08:10:00 AM,St. Ignatius, 6:27:00,Marin (A), 6:31:19,Serra HS, 6:40:63,Los Gatos (B), 6:45:19,Marin (B), 6:45:71,SDRC, 6:48:59,,
62, ,Womens Collegiate Novice,Petite,08:20:00 AM,Notre Dame, 7:17:90,USC, 7:21:79,Washington St., 7:22:61,UCSD (A), 7:30:59,SDSU, 7:37:56,Loyola, 7:48:68,,
63, ,Mens Collegiate Novice,Petite,08:30:00 AM,UCSD, 6:33:70,Long Beach St., 6:38:97,UC Davis (A), 6:42:45,UC Irvine, 6:44:44,USC (B), 6:45:89,Sonoma St., 6:47:27,,
64, ,Womens Open,Petite,08:40:00 AM,SDRC, 7:22:10,Cal Alum, 7:31:19,Notre Dame Alum, 7:32:05,USC Alum, 7:42:62,Lake Union, 7:56:58,UCSB, 8:26:09,,
65, ,Mens Open,Petite,08:50:00 AM,Cal LW, 6:34:60,SDSU Alum (C), 6:41:06,UCSD, 6:41:59,Lake Merritt, 6:42:43,Sac State, 6:49:47,Orange Coast, 6:55:43,,
66, ,Womens JV,Petite,09:00:00 AM,Notre Dame, 6:56:00,North Eastern, 7:00:91,SDSU, 7:06:53,Texas, 7:06:55,Kansas St., 7:13:25,USD (A), 7:15:21,,
67, ,Mens JV,Petite,09:10:00 AM,Notre Dame, 6:21:00,Orange Coast, 6:26:20,Colorado, 7:04:45,,,,,,,,
68, ,Womens Cal Cup,Petite,09:20:00 AM,St. Marry's, 6:51:00,Wisconsin LW, 6:52:91,Bucknell, 6:56:51,Temple, 6:58:77,Villanova, 7:00:29,Lehigh, 7:09:97,,
69, ,Mens Cal Cup,Petite,09:30:00 AM,Gonzaga, 6:05:50,Washington St., 6:08:91,Texas, 6:11:25,Notre Dame, 6:14:49,Rollins, 6:16:24,UCSB, 6:17:52,,
70, ,Jessop-Whittier Cup,Petite,09:40:00 AM,Stanford, 6:35:80,North Eastern, 6:37:09,Loyola, 6:39:99,Texas, 6:46:95,SDSU, 6:53:57,Purdue, 7:04:95,,
71, SeaWorld Trophy,Womens Collegiate Novice,GFinal,09:50:00 AM,Cal, 6:46:90,Texas, 6:47:95,Stanford, 6:51:57,Oregon St., 6:59:46,Kansas St., 7:00:37,UCLA, 7:04:68,,
